,counts,queries
0,9734,canta
1,925,pantofi
2,8628,donna vestiti
3,9180,regenjas
4,94,basic
5,567,φορεματα
6,4112,buty
7,0,
8,147,striuke
9,23225,pull
10,1667,jacka
11,62,metelis
12,328,saty
13,789,haljine
14,202,дънки
15,14878,pullover
16,602,kape
17,7693,пальто
18,18820,sale
