,terms,csu_queries,csu_ctr,csu_find,nocsu_queries,nocsu_ctr,nocsu_find
384,cardigan mangas pelo,104.0,31.0,28.0,16.0,4.0,4.0
461,americana principe de gales,103.0,79.0,72.0,39.0,11.0,10.0
375,falda larga,101.0,27.0,26.0,69.0,7.0,7.0
444,chaqueta pana,101.0,71.0,66.0,36.0,5.0,5.0
502,pantalon cargo,101.0,53.0,50.0,20.0,6.0,6.0
483,billetera,100.0,62.0,16.0,73.0,35.0,34.0
417,pantalon marron,100.0,38.0,35.0,28.0,4.0,4.0
473,bota xl tacon,99.0,42.0,39.0,39.0,11.0,10.0
513,bosque,99.0,76.0,70.0,28.0,19.0,19.0
420,antelina,99.0,45.0,43.0,18.0,4.0,4.0
398,league,96.0,73.0,68.0,63.0,16.0,16.0
443,pantalon hebilla,96.0,46.0,42.0,44.0,9.0,9.0
464,botines blancos,96.0,25.0,23.0,16.0,5.0,5.0
416,bolso shopper,93.0,54.0,40.0,29.0,4.0,4.0
504,pantalon cremalleras,93.0,60.0,57.0,6.0,6.0,6.0
494,logo,92.0,78.0,62.0,89.0,86.0,52.0
460,blusa rayas,92.0,42.0,34.0,41.0,14.0,14.0
393,korine,92.0,61.0,56.0,16.0,8.0,7.0
470,blandita,92.0,56.0,52.0,5.0,5.0,5.0
534,falda vinilo,91.0,62.0,58.0,34.0,13.0,13.0
510,haramon,91.0,81.0,75.0,31.0,24.0,24.0
462,crop isa,91.0,68.0,63.0,30.0,29.0,28.0
500,vestido botones,91.0,27.0,20.0,24.0,6.0,5.0
546,canali,90.0,78.0,74.0,13.0,7.0,6.0
544,falda cuadro,89.0,31.0,28.0,20.0,19.0,18.0
421,cazadora negra,89.0,40.0,24.0,12.0,4.0,4.0
520,kyoto,89.0,50.0,48.0,12.0,6.0,6.0
395,esquimal,89.0,20.0,19.0,8.0,4.0,3.0
404,eyelets,89.0,61.0,57.0,4.0,4.0,4.0
495,vestido canale,88.0,27.0,25.0,53.0,11.0,11.0
532,cero,88.0,73.0,67.0,47.0,31.0,30.0
447,venti,88.0,42.0,40.0,19.0,9.0,9.0
475,romance,88.0,42.0,40.0,16.0,15.0,14.0
476,combi,88.0,47.0,35.0,16.0,5.0,5.0
455,anillos,87.0,27.0,25.0,72.0,23.0,22.0
445,espalda,87.0,46.0,34.0,22.0,9.0,4.0
558,shangai,87.0,51.0,47.0,21.0,7.0,6.0
550,abrigo keller,87.0,42.0,39.0,7.0,6.0,6.0
485,abrigo pelo mujer,86.0,57.0,36.0,32.0,10.0,10.0
555,pantalon moto,86.0,70.0,64.0,28.0,7.0,6.0
560,helen,85.0,61.0,58.0,20.0,13.0,13.0
514,camisa lencera,85.0,44.0,41.0,18.0,6.0,6.0
429,dylan,84.0,67.0,63.0,8.0,4.0,4.0
524,chaleco blanvest,84.0,74.0,70.0,6.0,6.0,6.0
415,chaqueta verde,83.0,28.0,20.0,27.0,4.0,4.0
419,jersey naranja,81.0,20.0,18.0,18.0,3.0,3.0
424,tina,80.0,14.0,13.0,23.0,4.0,3.0
557,jersey detalle volantes,80.0,65.0,44.0,19.0,6.0,6.0
484,camiseta terciopelo,79.0,27.0,25.0,40.0,5.0,5.0
567,bolso burdeos,79.0,29.0,27.0,13.0,6.0,6.0
516,jeans andrea,79.0,55.0,52.0,11.0,11.0,10.0
522,botin calcetin tacon,79.0,39.0,37.0,11.0,5.0,5.0
535,falda gris,75.0,46.0,33.0,27.0,5.0,5.0
437,leo,75.0,17.0,16.0,18.0,7.0,7.0
559,camisa oxford,75.0,60.0,56.0,18.0,17.0,17.0
508,vestidos punto,74.0,28.0,27.0,52.0,5.0,5.0
541,brad,74.0,41.0,38.0,17.0,11.0,11.0
