,terms,csu_queries,csu_ctr,csu_find,nocsu_queries,nocsu_ctr,nocsu_find
784,basvo,22.0,21.0,19.0,4.0,4.0,3.0
840,roberto,22.0,8.0,8.0,4.0,4.0,4.0
867,kyle,21.0,10.0,9.0,6.0,5.0,5.0
870,north,21.0,5.0,5.0,6.0,5.0,5.0
844,jersey paulo,20.0,14.0,13.0,36.0,5.0,5.0
895,polos manga larga,20.0,6.0,6.0,28.0,7.0,7.0
911,alfred,20.0,13.0,12.0,14.0,7.0,7.0
924,abrigo desestructurado,20.0,13.0,6.0,7.0,7.0,7.0
926,inessa,20.0,6.0,6.0,7.0,6.0,6.0
933,alilong,20.0,19.0,18.0,7.0,7.0,6.0
834,jeans piti,20.0,8.0,7.0,4.0,4.0,4.0
890,abrigo neptu,19.0,6.0,6.0,54.0,7.0,6.0
847,pantalon david21,19.0,18.0,17.0,20.0,9.0,9.0
910,violet,19.0,12.0,11.0,13.0,12.0,12.0
806,parka furti,19.0,18.0,14.0,12.0,4.0,4.0
854,velero,19.0,14.0,13.0,10.0,5.0,5.0
827,blandy,19.0,7.0,7.0,8.0,8.0,7.0
887,cardigan ribetes,19.0,13.0,12.0,5.0,5.0,5.0
888,melon,19.0,9.0,9.0,5.0,5.0,5.0
902,jean slim,18.0,17.0,16.0,18.0,6.0,6.0
861,bolso cruzado abatanado,18.0,13.0,12.0,9.0,4.0,4.0
824,guantes piel,18.0,10.0,10.0,8.0,4.0,4.0
916,queen,18.0,6.0,5.0,6.0,6.0,6.0
869,11069056,18.0,4.0,4.0,5.0,4.0,5.0
832,jersey escote choker,18.0,14.0,13.0,4.0,4.0,4.0
835,dot,18.0,10.0,10.0,4.0,4.0,4.0
898,carlow,17.0,11.0,10.0,18.0,17.0,16.0
899,harry,17.0,11.0,10.0,18.0,6.0,6.0
817,elena,17.0,10.0,9.0,11.0,10.0,10.0
920,lapiz,17.0,17.0,16.0,6.0,6.0,6.0
831,vaneti,17.0,16.0,16.0,4.0,3.0,3.0
893,twill,16.0,5.0,5.0,28.0,5.0,5.0
901,pantalon plateado,16.0,10.0,9.0,16.0,5.0,5.0
859,jeans glossy,16.0,15.0,14.0,8.0,8.0,8.0
921,vestido dart,16.0,16.0,15.0,6.0,5.0,5.0
936,jersey abertura posterior,16.0,10.0,10.0,6.0,5.0,5.0
872,botines charol,16.0,8.0,7.0,4.0,4.0,4.0
883,angela,16.0,4.0,4.0,4.0,4.0,4.0
845,albecu,15.0,4.0,3.0,24.0,11.0,11.0
894,organico,15.0,9.0,9.0,20.0,5.0,5.0
914,dodger,15.0,15.0,14.0,5.0,5.0,5.0
868,niquel,15.0,11.0,10.0,4.0,4.0,4.0
882,blusa seda manga abullonada,15.0,7.0,7.0,4.0,4.0,4.0
952,bod,14.0,6.0,6.0,21.0,7.0,6.0
897,aleta,14.0,9.0,8.0,15.0,9.0,9.0
852,sabri,14.0,7.0,6.0,11.0,3.0,3.0
858,tubi,14.0,13.0,12.0,7.0,7.0,7.0
862,foil,14.0,10.0,9.0,7.0,3.0,3.0
977,lupa,14.0,13.0,12.0,7.0,14.0,6.0
915,pantalon star,14.0,14.0,12.0,5.0,5.0,5.0
918,jeans john,14.0,13.0,12.0,5.0,5.0,5.0
874,jersey marte,14.0,10.0,9.0,4.0,3.0,3.0
881,pareo,14.0,10.0,10.0,4.0,4.0,4.0
891,vaqueros encerados,13.0,13.0,12.0,37.0,35.0,33.0
953,jeans patrick,13.0,13.0,12.0,21.0,20.0,20.0
956,jambo,13.0,12.0,12.0,14.0,13.0,13.0
961,swing,13.0,13.0,12.0,14.0,13.0,13.0
964,jersey willowt,13.0,12.0,12.0,13.0,13.0,12.0
908,blusa terciopelo strass,13.0,8.0,8.0,9.0,4.0,4.0
909,diplomatica,13.0,8.0,8.0,9.0,4.0,4.0
975,vestido fluido purpurina,13.0,6.0,6.0,7.0,6.0,6.0
981,pantalon telmo2,13.0,18.0,11.0,7.0,6.0,6.0
984,jersey panel,13.0,13.0,12.0,7.0,7.0,6.0
989,blusa panyuelo,13.0,12.0,11.0,7.0,6.0,6.0
919,osaka,13.0,12.0,4.0,5.0,4.0,4.0
925,ely,13.0,13.0,12.0,5.0,4.0,4.0
932,vestido pink,13.0,4.0,4.0,5.0,4.0,4.0
939,gem,13.0,8.0,7.0,4.0,4.0,4.0
962,botas tacon xl,12.0,6.0,6.0,13.0,6.0,6.0
966,cashemer,12.0,12.0,11.0,13.0,6.0,6.0
903,chaqueta cuero negra,12.0,4.0,3.0,12.0,8.0,8.0
906,party 1,12.0,4.0,3.0,8.0,4.0,4.0
986,faldas piel,12.0,6.0,6.0,7.0,6.0,6.0
990,gema,12.0,11.0,11.0,6.0,6.0,6.0
937,plumifero negro,12.0,4.0,4.0,4.0,4.0,4.0
942,anorak largo,11.0,10.0,9.0,27.0,15.0,10.0
904,camisa corleone,11.0,11.0,10.0,8.0,4.0,4.0
907,loti,11.0,7.0,7.0,8.0,4.0,4.0
987,cazadora piel cremalleras,11.0,11.0,10.0,6.0,6.0,6.0
917,camisa floral,11.0,3.0,3.0,4.0,4.0,4.0
946,falda granate,10.0,5.0,4.0,21.0,5.0,5.0
957,bichos,10.0,10.0,9.0,11.0,5.0,5.0
958,camisa carmina,10.0,5.0,4.0,10.0,5.0,5.0
963,opalo,10.0,10.0,9.0,10.0,5.0,5.0
969,olivia 1,10.0,5.0,4.0,10.0,10.0,10.0
973,charles,10.0,10.0,9.0,5.0,5.0,5.0
983,frogs,10.0,5.0,4.0,5.0,5.0,5.0
941,pichi vaquero,9.0,8.0,8.0,31.0,9.0,8.0
965,vestido satinado asimetrico,9.0,9.0,8.0,10.0,5.0,5.0
954,abrigo con capucha,9.0,8.0,8.0,9.0,9.0,4.0
991,jersey detalle calado,9.0,4.0,4.0,5.0,4.0,4.0
972,pantalon traje mujer,9.0,8.0,8.0,4.0,4.0,4.0
944,jersey agata1,8.0,8.0,8.0,18.0,9.0,9.0
955,prusa,8.0,7.0,3.0,8.0,4.0,4.0
959,camisa anel,8.0,8.0,7.0,8.0,4.0,4.0
960,jersey plait,8.0,8.0,7.0,8.0,4.0,4.0
968,low,8.0,4.0,4.0,8.0,8.0,8.0
994,abrigo lana anilla,8.0,4.0,4.0,5.0,4.0,4.0
971,blanca1,8.0,4.0,3.0,4.0,4.0,4.0
976,pantalon rayas laterales,8.0,8.0,7.0,4.0,4.0,4.0
996,pendiente borlas,8.0,4.0,4.0,4.0,4.0,4.0
1008,ibai,7.0,6.0,6.0,13.0,6.0,6.0
950,bolso safiano,7.0,3.0,3.0,11.0,11.0,11.0
951,rombo,7.0,7.0,6.0,11.0,4.0,3.0
1019,didac,7.0,6.0,6.0,7.0,7.0,7.0
1020,anorak acolchado tricolor,7.0,6.0,6.0,7.0,7.0,7.0
1030,americana cierre metalico,7.0,6.0,6.0,7.0,7.0,7.0
1034,jersei dorado,7.0,6.0,6.0,7.0,7.0,7.0
1038,vincen,7.0,6.0,6.0,7.0,7.0,7.0
992,botin pisa,7.0,3.0,3.0,4.0,4.0,3.0
997,falda estampada,7.0,3.0,3.0,4.0,3.0,3.0
1000,camisa detalles calados,6.0,6.0,6.0,26.0,19.0,18.0
1004,roble,6.0,6.0,6.0,20.0,19.0,18.0
1006,bolso shopper abatanado,6.0,6.0,5.0,19.0,6.0,6.0
1002,jersey eyelets,6.0,5.0,5.0,18.0,6.0,6.0
1007,cosita,6.0,6.0,5.0,12.0,12.0,11.0
1025,duque,6.0,5.0,5.0,6.0,6.0,6.0
1027,queens,6.0,6.0,5.0,6.0,6.0,6.0
1033,camiseta knotti,6.0,6.0,5.0,6.0,6.0,6.0
1003,jersey gris cinturon,5.0,5.0,4.0,15.0,5.0,5.0
1011,jersey cordones trenzados,5.0,5.0,5.0,11.0,5.0,5.0
1042,nihao,5.0,5.0,5.0,6.0,5.0,5.0
1016,bolso shoper piel,5.0,5.0,4.0,5.0,5.0,5.0
1029,mono largo cinturon,5.0,4.0,4.0,5.0,5.0,5.0
1031,jersey mangas pelo,5.0,4.0,4.0,5.0,5.0,5.0
1032,camiseta nudo textura,5.0,4.0,4.0,5.0,5.0,5.0
1036,bolso asa metalica,5.0,5.0,5.0,5.0,5.0,5.0
1039,houston,5.0,4.0,4.0,5.0,5.0,5.0
1005,vestido floral negro,4.0,4.0,4.0,13.0,4.0,4.0
1010,neceser abatanado cremallera,4.0,4.0,4.0,9.0,4.0,4.0
1013,peacot,4.0,4.0,4.0,8.0,4.0,4.0
1022,carola,4.0,4.0,4.0,5.0,4.0,4.0
1024,anou,4.0,4.0,4.0,5.0,4.0,4.0
1035,aladin,4.0,4.0,4.0,5.0,5.0,5.0
1040,abrigo ventana,4.0,4.0,4.0,5.0,9.0,4.0
1021,fany,4.0,4.0,3.0,4.0,4.0,4.0
1037,camiseta wonder woman,4.0,4.0,4.0,4.0,4.0,4.0
1045,minidots,4.0,4.0,4.0,4.0,4.0,4.0
1001,cazadora efecto ante,3.0,3.0,3.0,14.0,10.0,10.0
1015,parla furti,3.0,3.0,3.0,4.0,3.0,3.0
