id,datetime,event_type
36,2017-11-24T09:00:00+00:00,-1
37,2017-11-24T09:00:00+00:00,0
38,2017-11-24T09:00:00+00:00,0
39,2017-11-24T09:00:00+00:00,-1
40,2017-11-24T09:00:00+00:00,0
41,2017-11-24T09:00:00+00:00,0
42,2017-11-24T09:00:00+00:00,-1
43,2017-11-24T09:00:00+00:00,1
44,2017-11-24T09:00:00+00:00,1
45,2017-11-24T09:00:00+00:00,-1
46,2017-11-24T09:00:00+00:00,0
47,2017-11-24T09:00:00+00:00,0
48,2017-11-24T09:00:00+00:00,1
49,2017-11-24T09:00:00+00:00,0
50,2017-11-24T09:00:00+00:00,0
51,2017-11-24T09:00:00+00:00,-1
52,2017-11-24T09:00:00+00:00,0
53,2017-11-24T09:00:00+00:00,-1
54,2017-11-24T09:00:00+00:00,0
55,2017-11-24T09:00:00+00:00,1
56,2017-11-24T09:00:00+00:00,-1
57,2017-11-24T09:00:00+00:00,-1
58,2017-11-24T09:00:00+00:00,-1
59,2017-11-24T09:00:00+00:00,0
60,2017-11-24T09:00:00+00:00,-1
61,2017-11-24T09:00:00+00:00,-1
62,2017-11-24T09:00:00+00:00,0
63,2017-11-24T09:00:00+00:00,0
64,2017-11-24T09:00:00+00:00,-1
65,2017-11-24T09:00:00+00:00,-1
66,2017-11-24T09:00:00+00:00,0
67,2017-11-24T09:00:00+00:00,0
68,2017-11-24T09:00:00+00:00,0
69,2017-11-24T09:00:00+00:00,2
70,2017-11-24T09:00:00+00:00,0
71,2017-11-24T09:00:00+00:00,-1
72,2017-11-24T09:00:00+00:00,-1
73,2017-11-24T09:00:00+00:00,0
74,2017-11-24T09:00:00+00:00,0
75,2017-11-24T09:00:00+00:00,0
76,2017-11-24T09:00:00+00:00,-1
77,2017-11-24T09:00:00+00:00,0
78,2017-11-24T09:00:00+00:00,0
79,2017-11-24T09:00:00+00:00,1
0,2017-11-24T10:00:00+00:00,0
1,2017-11-24T10:00:00+00:00,0
2,2017-11-24T10:00:00+00:00,-1
3,2017-11-24T10:00:00+00:00,2
4,2017-11-24T10:00:00+00:00,0
5,2017-11-24T10:00:00+00:00,0
6,2017-11-24T10:00:00+00:00,1
7,2017-11-24T10:00:00+00:00,0
8,2017-11-24T10:00:00+00:00,1
9,2017-11-24T10:00:00+00:00,0
10,2017-11-24T10:00:00+00:00,1
11,2017-11-24T10:00:00+00:00,0
12,2017-11-24T10:00:00+00:00,0
13,2017-11-24T10:00:00+00:00,-1
14,2017-11-24T10:00:00+00:00,2
15,2017-11-24T10:00:00+00:00,0
16,2017-11-24T10:00:00+00:00,0
17,2017-11-24T10:00:00+00:00,0
18,2017-11-24T10:00:00+00:00,-1
19,2017-11-24T10:00:00+00:00,0
20,2017-11-24T10:00:00+00:00,2
21,2017-11-24T10:00:00+00:00,0
22,2017-11-24T10:00:00+00:00,0
23,2017-11-24T10:00:00+00:00,-1
24,2017-11-24T10:00:00+00:00,-1
25,2017-11-24T10:00:00+00:00,0
26,2017-11-24T10:00:00+00:00,0
27,2017-11-24T10:00:00+00:00,1
28,2017-11-24T10:00:00+00:00,1
29,2017-11-24T10:00:00+00:00,1
30,2017-11-24T10:00:00+00:00,2
31,2017-11-24T10:00:00+00:00,0
32,2017-11-24T10:00:00+00:00,0
33,2017-11-24T10:00:00+00:00,0
34,2017-11-24T10:00:00+00:00,0
35,2017-11-24T10:00:00+00:00,0
36,2017-11-24T10:00:00+00:00,0
37,2017-11-24T10:00:00+00:00,0
38,2017-11-24T10:00:00+00:00,0
39,2017-11-24T10:00:00+00:00,0
40,2017-11-24T10:00:00+00:00,0
41,2017-11-24T10:00:00+00:00,0
42,2017-11-24T10:00:00+00:00,0
43,2017-11-24T10:00:00+00:00,1
44,2017-11-24T10:00:00+00:00,1
45,2017-11-24T10:00:00+00:00,0
46,2017-11-24T10:00:00+00:00,0
47,2017-11-24T10:00:00+00:00,0
48,2017-11-24T10:00:00+00:00,1
49,2017-11-24T10:00:00+00:00,0
50,2017-11-24T10:00:00+00:00,0
51,2017-11-24T10:00:00+00:00,0
52,2017-11-24T10:00:00+00:00,0
53,2017-11-24T10:00:00+00:00,0
54,2017-11-24T10:00:00+00:00,0
55,2017-11-24T10:00:00+00:00,1
56,2017-11-24T10:00:00+00:00,-1
57,2017-11-24T10:00:00+00:00,0
58,2017-11-24T10:00:00+00:00,0
59,2017-11-24T10:00:00+00:00,0
60,2017-11-24T10:00:00+00:00,0
61,2017-11-24T10:00:00+00:00,0
62,2017-11-24T10:00:00+00:00,0
63,2017-11-24T10:00:00+00:00,0
64,2017-11-24T10:00:00+00:00,0
65,2017-11-24T10:00:00+00:00,0
66,2017-11-24T10:00:00+00:00,0
67,2017-11-24T10:00:00+00:00,0
68,2017-11-24T10:00:00+00:00,0
69,2017-11-24T10:00:00+00:00,2
70,2017-11-24T10:00:00+00:00,0
71,2017-11-24T10:00:00+00:00,-1
72,2017-11-24T10:00:00+00:00,0
73,2017-11-24T10:00:00+00:00,0
74,2017-11-24T10:00:00+00:00,0
75,2017-11-24T10:00:00+00:00,0
76,2017-11-24T10:00:00+00:00,-1
77,2017-11-24T10:00:00+00:00,0
78,2017-11-24T10:00:00+00:00,0
79,2017-11-24T10:00:00+00:00,1
0,2017-11-24T11:00:00+00:00,0
1,2017-11-24T11:00:00+00:00,0
2,2017-11-24T11:00:00+00:00,-1
3,2017-11-24T11:00:00+00:00,2
4,2017-11-24T11:00:00+00:00,0
5,2017-11-24T11:00:00+00:00,0
6,2017-11-24T11:00:00+00:00,1
7,2017-11-24T11:00:00+00:00,0
8,2017-11-24T11:00:00+00:00,2
9,2017-11-24T11:00:00+00:00,1
10,2017-11-24T11:00:00+00:00,1
11,2017-11-24T11:00:00+00:00,0
12,2017-11-24T11:00:00+00:00,0
13,2017-11-24T11:00:00+00:00,0
14,2017-11-24T11:00:00+00:00,2
15,2017-11-24T11:00:00+00:00,0
16,2017-11-24T11:00:00+00:00,0
17,2017-11-24T11:00:00+00:00,0
18,2017-11-24T11:00:00+00:00,-1
19,2017-11-24T11:00:00+00:00,0
20,2017-11-24T11:00:00+00:00,2
21,2017-11-24T11:00:00+00:00,0
22,2017-11-24T11:00:00+00:00,0
23,2017-11-24T11:00:00+00:00,-1
24,2017-11-24T11:00:00+00:00,0
25,2017-11-24T11:00:00+00:00,0
26,2017-11-24T11:00:00+00:00,0
27,2017-11-24T11:00:00+00:00,1
28,2017-11-24T11:00:00+00:00,1
29,2017-11-24T11:00:00+00:00,1
30,2017-11-24T11:00:00+00:00,2
31,2017-11-24T11:00:00+00:00,0
32,2017-11-24T11:00:00+00:00,0
33,2017-11-24T11:00:00+00:00,0
34,2017-11-24T11:00:00+00:00,0
35,2017-11-24T11:00:00+00:00,0
36,2017-11-24T11:00:00+00:00,0
37,2017-11-24T11:00:00+00:00,0
38,2017-11-24T11:00:00+00:00,0
39,2017-11-24T11:00:00+00:00,0
40,2017-11-24T11:00:00+00:00,0
41,2017-11-24T11:00:00+00:00,0
42,2017-11-24T11:00:00+00:00,0
43,2017-11-24T11:00:00+00:00,1
44,2017-11-24T11:00:00+00:00,1
45,2017-11-24T11:00:00+00:00,0
46,2017-11-24T11:00:00+00:00,0
47,2017-11-24T11:00:00+00:00,0
48,2017-11-24T11:00:00+00:00,1
49,2017-11-24T11:00:00+00:00,0
50,2017-11-24T11:00:00+00:00,1
51,2017-11-24T11:00:00+00:00,0
52,2017-11-24T11:00:00+00:00,0
53,2017-11-24T11:00:00+00:00,0
54,2017-11-24T11:00:00+00:00,0
55,2017-11-24T11:00:00+00:00,1
56,2017-11-24T11:00:00+00:00,-1
57,2017-11-24T11:00:00+00:00,0
58,2017-11-24T11:00:00+00:00,0
59,2017-11-24T11:00:00+00:00,0
60,2017-11-24T11:00:00+00:00,0
61,2017-11-24T11:00:00+00:00,0
62,2017-11-24T11:00:00+00:00,0
63,2017-11-24T11:00:00+00:00,0
64,2017-11-24T11:00:00+00:00,0
65,2017-11-24T11:00:00+00:00,0
66,2017-11-24T11:00:00+00:00,0
67,2017-11-24T11:00:00+00:00,0
68,2017-11-24T11:00:00+00:00,0
69,2017-11-24T11:00:00+00:00,2
70,2017-11-24T11:00:00+00:00,0
71,2017-11-24T11:00:00+00:00,0
72,2017-11-24T11:00:00+00:00,0
73,2017-11-24T11:00:00+00:00,0
74,2017-11-24T11:00:00+00:00,0
75,2017-11-24T11:00:00+00:00,0
76,2017-11-24T11:00:00+00:00,-1
77,2017-11-24T11:00:00+00:00,0
78,2017-11-24T11:00:00+00:00,0
79,2017-11-24T11:00:00+00:00,1
0,2017-11-24T12:00:00+00:00,0
