,total_queries,ctr,zero_resulto_rate,keywords,lang
2387,529.0,0.0,100.0,tartan,English
2339,529.0,22.9565217391,46.0,sunglasses,English
609,527.0,13.5176651306,80.9523809524,buckle,English
2346,527.0,0.0,100.0,sweater,Spanish
1635,524.0,18.2209469154,75.1793400287,moda,Spanish
392,524.0,0.0,100.0,bandeau,English
2039,523.0,32.8727691422,30.1093839954,raya,Spanish
2064,522.0,0.0,100.0,reversibles,Spanish
1789,518.0,32.4652777778,14.9884259259,pana,Spanish
2423,518.0,16.8949771689,78.8432267884,the,Spanish
310,516.0,44.2105263158,77.5939849624,altos,Spanish
285,515.0,17.6356589147,33.2687338501,acordonado,Spanish
2506,513.0,56.9811320755,27.6549865229,tulle,English
2402,513.0,27.5743707094,58.6956521739,tejido,Spanish
2566,512.0,0.0,100.0,vino,Spanish
1351,511.0,28.5816311955,7.29895729182,jean,Spanish
994,510.0,0.0,100.0,dog,English
722,509.0,24.0740740741,2.30462736575,cazadoras,Spanish
408,508.0,19.5605342525,21.8871176217,basic,English
1497,507.0,12.0786516854,47.4719101124,leopardo,Spanish
2167,505.0,16.1858974359,80.9294871795,shiny,English
1424,505.0,0.0,100.0,kids,English
1020,503.0,34.6514047867,26.1706555671,earrings,English
335,502.0,47.5092936803,37.3234200743,antelina,Spanish
2476,501.0,53.3796374725,8.48720989327,transparente,Spanish
849,500.0,6.52528548124,81.5660685155,coloured,English
687,499.0,19.9885452463,28.5796105384,cap,English
1704,495.0,0.0,100.0,nino,Spanish
385,495.0,14.502657555,37.5854214123,banador,Spanish
35,494.0,0.0,100.0,2,English
1934,491.0,9.77247295785,18.3140619172,playera,Spanish
2641,489.0,0.0,100.0,zipper,English
1291,487.0,17.6289453426,37.4903772132,hombros,Spanish
2255,487.0,41.1126187246,66.078697422,smoking,Spanish
570,486.0,43.1613819214,23.0004732608,boyfriend,Spanish
255,485.0,46.6965285554,54.3113101904,aberturas,Spanish
2547,485.0,0.0,100.0,vent,English
381,483.0,0.0,100.0,ballerina,English
765,482.0,0.0,100.0,chest,English
1758,482.0,48.869047619,28.6904761905,over,English
846,482.0,28.6634460548,77.616747182,colores,Spanish
263,480.0,35.4575946334,22.9995208433,ac,Spanish
1389,480.0,53.8848518726,8.94354387926,jogging,English
2014,480.0,0.0,100.0,puntilla,Spanish
1101,480.0,63.6908727515,31.9786808794,fine,English
2171,478.0,8.88421245254,2.18674230294,shirts,English
70,478.0,27.0304568528,60.6598984772,4,Spanish
1243,476.0,0.0,100.0,guipur,Spanish
599,476.0,26.6480446927,26.5921787709,brillo,Spanish
2549,475.0,37.5146541618,55.6858147714,veracruz,Spanish
1686,474.0,12.2866894198,80.8873720137,necklaces,English
945,474.0,41.5752098128,30.6003873467,dc,Spanish
549,474.0,51.8296529968,14.952681388,bota,Spanish
1210,473.0,24.1379310345,74.1379310345,girls,English
1375,473.0,25.1228522046,1.60300945538,jerseys,Spanish
304,470.0,31.4393939394,12.7164502165,algodon,Spanish
931,470.0,9.66494845361,60.5670103093,culotte,English
848,468.0,0.0,100.0,colour,English
2186,467.0,28.1433718946,8.85643846008,shorts,Spanish
807,466.0,0.0,100.0,cisne,Spanish
2294,466.0,12.3456790123,82.1869488536,straight,English
2355,465.0,10.6157112527,32.9087048832,sweatshirts,English
1094,463.0,0.0,100.0,femme,English
1785,463.0,0.0,100.0,palazzo,Spanish
700,460.0,56.0904684976,7.43134087237,cardigan,English
1531,459.0,50.6798516687,56.7367119901,low,English
953,458.0,30.2287581699,74.8366013072,demin,Spanish
622,458.0,56.3850687623,29.9934512115,button,English
1561,457.0,23.5454545455,41.5454545455,marron,Spanish
2285,456.0,15.6725146199,53.3333333333,star,English
962,456.0,22.2608024691,17.5925925926,deportiva,Spanish
738,454.0,22.2485867821,1.58419987438,chamarras,Spanish
1187,454.0,38.4695290859,15.7202216066,gafas,Spanish
1972,450.0,5.73248407643,71.6560509554,poncho,Spanish
1969,450.0,32.6431181486,54.8112058465,pompon,Spanish
513,446.0,0.0,100.0,bohemian,English
389,446.0,0.0,100.0,bandana,English
1913,445.0,34.7693867207,22.554485555,pitillo,Spanish
1253,443.0,2.4868123587,33.3835719668,halloween,English
290,442.0,1.05124835742,58.0814717477,adjustable,English
1373,442.0,25.0177683014,31.4143567875,jersey,English
2550,441.0,0.0,100.0,verano,Spanish
1657,441.0,62.7201565558,43.1506849315,mouse,English
387,438.0,8.37378640777,26.5776699029,band,English
2122,438.0,15.4752553024,34.4069128044,s,Spanish
2622,435.0,14.0,58.0,wrap,English
1236,431.0,37.4709527498,8.34624322231,grey,English
934,431.0,19.2307692308,66.3076923077,cuna,Spanish
1488,430.0,8.90302066773,68.3624801272,lenceria,Spanish
853,427.0,46.6331658291,42.9145728643,combined,English
1092,427.0,0.0,100.0,female,English
2516,427.0,66.8929503916,22.2976501305,turtle,English
1883,427.0,0.0,100.0,petite,English
1014,426.0,39.9005355777,16.2968630451,dungarees,English
36,426.0,18.2156133829,79.1821561338,2,Spanish
2036,425.0,33.2608695652,46.1956521739,ramones,Spanish
2268,425.0,19.9252801993,52.9265255293,soft,English
2145,424.0,44.7633587786,12.9465648855,scarf,English
1290,424.0,21.3063763608,65.9409020218,hombro,Spanish
2291,423.0,0.0,100.0,stones,English
1753,420.0,0.0,100.0,otono,Spanish
2031,420.0,19.6517412935,52.2388059701,rain,English
2597,417.0,12.8595600677,70.5583756345,wear,English
465,416.0,57.7879831611,7.96019900498,blancos,Spanish
2212,415.0,0.0,100.0,sister,Spanish
1073,411.0,14.8514851485,45.2145214521,faded,English
287,409.0,0.0,100.0,act,English
534,408.0,42.4337517434,14.2259414226,boot,English
1522,407.0,38.1431767338,45.5257270694,long,Spanish
2253,407.0,0.0,100.0,small,English
299,405.0,59.6428571429,48.2142857143,ajustada,Spanish
810,404.0,0.0,100.0,clasico,Spanish
1891,402.0,37.9631843175,9.61032751614,pico,Spanish
427,402.0,55.1767676768,16.9191919192,beisbolera,Spanish
2344,399.0,23.6526946108,14.9326347305,sweat,English
274,398.0,0.0,100.0,acdc,English
1426,397.0,30.4721030043,34.0772532189,kimono,English
913,396.0,27.6864728192,50.0632111252,cross,English
1528,395.0,25.4113345521,72.2120658135,los,Spanish
96,393.0,55.7881773399,48.3990147783,5077,Spanish
597,392.0,40.5330882353,36.0294117647,brillante,Spanish
1963,392.0,74.1137675185,16.1582852432,polo,Spanish
1944,391.0,47.4167987322,12.3930269414,plumas,Spanish
2460,391.0,48.1381178064,26.4725795531,tote,English
1027,390.0,41.975308642,43.771043771,el,Spanish
2088,389.0,25.3571428571,46.3095238095,roll,English
852,389.0,57.399103139,24.9199231262,combinado,Spanish
47,388.0,76.5293383271,24.2197253433,231,Spanish
376,388.0,41.1847672779,54.7249647391,bailarina,Spanish
2047,387.0,12.4926340601,11.4024749558,red,Spanish
1029,387.0,37.4324324324,52.2972972973,elastica,Spanish
718,385.0,10.4651162791,49.7416020672,cat,English
2091,384.0,0.0,100.0,rolling,English
2467,384.0,30.2810516772,34.8141432457,tracksuit,English
689,384.0,7.98045602606,62.5407166124,cape,English
1893,383.0,0.0,100.0,piece,English
1174,383.0,43.8197131801,8.71841566128,funda,Spanish
351,382.0,0.0,100.0,atilde,Spanish
2041,382.0,0.0,100.0,re,English
2209,382.0,0.0,100.0,single,English
2612,381.0,0.0,100.0,woman's,English
2168,381.0,0.0,100.0,shirred,English
1766,381.0,14.7302904564,79.0456431535,overshirt,English
1866,377.0,0.0,100.0,peluche,Spanish
1510,376.0,0.0,100.0,lingerie,English
2447,376.0,0.0,100.0,toe,English
1350,376.0,28.8838182164,7.1496482221,jean,English
460,375.0,13.3369330454,20.2483801296,black,Spanish
1235,375.0,34.8074179743,6.68687589158,green,English
857,375.0,0.0,100.0,conjunto,Spanish
1769,374.0,39.5306028532,17.2112287161,oversize,English
623,373.0,0.0,100.0,buttoned,English
2451,373.0,0.0,100.0,too,English
2077,373.0,0.0,100.0,rise,Spanish
1260,373.0,21.1140583554,19.7877984085,hat,English
1149,369.0,55.3383458647,55.4887218045,forro,Spanish
952,367.0,0.0,100.0,demin,English
573,367.0,87.5615763547,22.5985221675,boys,Spanish
914,365.0,0.0,100.0,crossed,English
1509,365.0,3.0888030888,70.4633204633,linen,English
2556,364.0,7.50988142292,20.5533596838,veste,English
787,364.0,21.5335005374,13.0419204586,chubasquero,Spanish
289,361.0,0.0,100.0,adidas,Spanish
475,361.0,0.0,100.0,blond,English
303,361.0,0.0,100.0,al,Spanish
378,361.0,0.0,100.0,bajos,Spanish
1610,359.0,74.5194947831,19.7144426139,midi,Spanish
1384,359.0,33.7502649989,7.61076955692,jogger,English
686,358.0,2.52252252252,64.5045045045,canvas,English
1206,358.0,9.33488914819,41.7736289382,girl,English
2245,357.0,46.2791721708,15.7199471598,slim,Spanish
319,357.0,0.0,100.0,ancha,Spanish
1499,356.0,24.4652406417,47.5935828877,letras,Spanish
2165,356.0,15.5361050328,77.8993435449,shimmer,English
2481,356.0,18.4290030211,13.4441087613,trench,English
1904,355.0,27.0613107822,37.5264270613,pink,Spanish
412,355.0,32.1792260692,18.0753564155,basico,Spanish
1912,353.0,17.1288743883,57.5856443719,piso,Spanish
620,353.0,0.0,100.0,bustier,English
705,353.0,61.2025769506,25.268432355,cargo,Spanish
2392,353.0,59.9257884972,32.745825603,tecnico,Spanish
2379,352.0,0.0,100.0,tallas,Spanish
2069,351.0,51.5789473684,33.5885167464,rings,English
1977,350.0,0.0,100.0,por,Spanish
980,348.0,0.0,100.0,detalles,Spanish
2618,347.0,0.0,100.0,wood,English
2008,347.0,38.3720930233,40.3488372093,pulsera,Spanish
2343,345.0,0.0,100.0,superskinny,Spanish
1919,345.0,0.0,100.0,planaforma,Spanish
870,344.0,54.7183613753,25.1645940015,cordon,Spanish
2312,344.0,0.0,100.0,studs,English
402,343.0,23.1662269129,6.03342128408,baqueros,Spanish
1906,343.0,19.3347193347,71.3097713098,pins,Spanish
1246,342.0,15.5069582505,67.9920477137,guns,Spanish
391,341.0,24.8306997743,76.9751693002,bandas,Spanish
2412,341.0,0.0,100.0,tension,English
429,341.0,29.8578199052,53.8704581359,bell,English
360,341.0,0.0,100.0,baby,English
648,341.0,0.0,100.0,cami,English
395,340.0,0.0,100.0,bands,English
40,340.0,0.0,100.0,2017,Spanish
446,340.0,0.0,100.0,bff,Spanish
2419,340.0,0.0,100.0,textos,Spanish
2336,338.0,36.3801452785,20.4600484262,sujetador,Spanish
1717,335.0,50.5094614265,48.7627365357,notebook,English
932,335.0,28.0383795309,35.7142857143,culotte,Spanish
1031,335.0,65.376984127,33.2341269841,elasticos,Spanish
1008,334.0,0.0,100.0,dress,Spanish
1153,333.0,8.76685934489,32.0809248555,friday,Spanish
1867,332.0,0.0,100.0,pencil,English
1803,332.0,7.94392523364,51.7133956386,pantalon,English
2485,331.0,0.0,100.0,tribe,Spanish
1546,331.0,23.1320091879,4.47236859884,man,English
1922,331.0,0.0,100.0,planner,English
2154,330.0,0.0,100.0,septum,Spanish
1205,329.0,0.0,100.0,gingham,English
1151,329.0,24.0740740741,46.8660968661,frayed,English
483,329.0,29.8472596586,5.91194968553,blue,English
1739,329.0,0.0,100.0,one,English
1746,327.0,0.0,100.0,ord,English
696,327.0,0.0,100.0,caramel,English
1218,326.0,32.6139088729,39.0887290168,goma,Spanish
2170,326.0,14.2303969022,15.7792836399,shirt,Spanish
2206,326.0,0.0,100.0,simpsons,English
315,326.0,54.7702152414,9.48225712624,americana,Spanish
1759,325.0,45.4390451833,27.7067348679,over,Spanish
1516,325.0,36.4554637282,29.8438934803,llavero,Spanish
2452,325.0,0.0,100.0,tooth,English
1846,323.0,0.0,100.0,pata,Spanish
1853,323.0,54.822954823,39.4383394383,patent,English
1229,323.0,41.0587997575,6.52657102445,granate,Spanish
1017,323.0,0.0,100.0,dye,Spanish
2625,323.0,0.0,100.0,xs,Spanish
306,322.0,51.7909002904,31.1713455954,all,Spanish
695,322.0,0.0,100.0,car,English
1932,321.0,0.0,100.0,platforms,English
2588,320.0,0.0,100.0,wars,English
2287,319.0,20.4208885425,24.8636009353,stiletto,English
372,318.0,0.0,100.0,bae,Spanish
2244,318.0,38.8935456832,26.6554903604,slim,English
1139,318.0,52.1505376344,42.7419354839,fluida,Spanish
978,317.0,0.0,100.0,details,English
2025,317.0,0.0,100.0,pyjamas,English
1016,317.0,0.0,100.0,dye,English
1707,317.0,0.0,100.0,nirvana,Spanish
232,316.0,47.195622435,43.2284541724,800,English
2368,315.0,12.8526645768,19.7492163009,t,Spanish
2292,314.0,17.9439252336,58.691588785,stones,Spanish
1267,314.0,0.0,100.0,hebillas,Spanish
2465,314.0,16.7728237792,66.6666666667,track,English
1581,313.0,0.0,100.0,mensajes,Spanish
1097,313.0,47.7607113985,5.0606305578,fiesta,Spanish
2092,313.0,20.9770114943,44.9712643678,rolling,Spanish
411,312.0,20.3033268102,15.2641878669,basicas,Spanish
633,312.0,30.0142247511,44.3812233286,cadena,Spanish
2218,310.0,81.7535545024,24.4865718799,skater,Spanish
2075,310.0,0.0,100.0,rips,English
1596,309.0,39.1856555846,11.5427717594,metalizado,Spanish
1066,309.0,0.0,100.0,extra,Spanish
1675,309.0,0.0,100.0,n,Spanish
1068,308.0,14.4736842105,67.5438596491,eye,English
1458,307.0,0.0,100.0,large,English
1227,307.0,0.0,100.0,grabado,Spanish
1208,307.0,0.0,100.0,girlfriend,English
1067,306.0,0.0,100.0,extraible,Spanish
1855,306.0,47.619047619,25.5639097744,pearl,English
260,305.0,70.2840495266,22.2141296431,abullonada,Spanish
2373,305.0,64.2072818339,5.87555384319,tailored,English
2572,305.0,48.8041853513,22.7952167414,viscosa,Spanish
2489,304.0,0.0,100.0,tropical,English
544,304.0,41.7532467532,19.7402597403,borrego,Spanish
2617,303.0,23.0211710853,5.77913408354,womens,English
1270,302.0,34.2776203966,12.2217725617,heels,English
2553,302.0,28.1959766385,4.89941596366,vest,English
567,302.0,0.0,100.0,boy,English
236,301.0,50.0658761528,39.6574440053,810,Spanish
1402,301.0,12.3885365505,1.4353154356,jumpers,English
1244,301.0,0.0,100.0,guipure,English
1503,301.0,26.1061946903,44.395280236,light,English
25,301.0,50.8658008658,65.1515151515,168,English
2002,301.0,20.5921938089,40.5114401077,pull,English
1935,300.0,9.7862615943,4.03280010754,playeras,Spanish
2576,300.0,30.3425774878,48.9396411093,volumen,Spanish
2403,299.0,0.0,100.0,tela,Spanish
542,299.0,0.0,100.0,borg,English
2306,299.0,25.361512792,33.2591768632,stripes,English
2455,299.0,46.7156862745,14.6568627451,topos,Spanish
2126,299.0,0.0,100.0,safari,English
1209,299.0,0.0,100.0,girlfriend,Spanish
1106,298.0,28.6681715576,67.2686230248,fishnet,English
1439,298.0,0.0,100.0,koala,Spanish
777,297.0,43.526292532,13.1241714538,chocker,Spanish
2288,297.0,0.0,100.0,stitching,English
84,296.0,81.3294797688,17.1098265896,5,Spanish
618,296.0,0.0,100.0,buso,Spanish
2310,296.0,0.0,100.0,studded,English
1971,296.0,0.0,100.0,poncho,English
640,296.0,32.7027027027,8.88888888889,calcetines,Spanish
1839,295.0,72.9638958858,8.25636719843,parkas,Spanish
563,295.0,0.0,100.0,bows,English
1599,295.0,14.5748987854,59.7165991903,metallica,Spanish
1360,293.0,75.3448275862,16.8390804598,jegging,Spanish
203,291.0,47.6038338658,30.9904153355,7,English
1968,291.0,0.0,100.0,pompoms,English
46,290.0,80.7925151348,15.9603742433,231,English
839,289.0,15.6108597285,65.3846153846,collection,English
1941,289.0,51.6816143498,32.399103139,plisada,Spanish
2284,288.0,0.0,100.0,stains,English
713,287.0,0.0,100.0,case,Spanish
1679,287.0,13.5078534031,30.0523560209,navidad,Spanish
254,286.0,42.0035149385,50.2636203866,abertura,Spanish
2111,285.0,39.972289574,9.87183927953,roto,Spanish
1958,285.0,0.0,100.0,pointed,English
2432,285.0,0.0,100.0,tie,Spanish
1873,285.0,0.0,100.0,perforated,English
1534,285.0,49.4667760459,7.79327317473,lunares,Spanish
1564,285.0,53.9070227498,28.1899109792,masculine,English
1133,284.0,0.0,100.0,floyd,English
2052,283.0,0.0,100.0,regalo,Spanish
317,282.0,0.0,100.0,amigas,Spanish
1671,282.0,37.6247183779,9.07627936917,mustard,English
2578,281.0,26.358974359,28.8205128205,vuelta,Spanish
291,280.0,0.0,100.0,adolescente,Spanish
2494,279.0,24.1639901757,5.27111279048,trouser,English
2521,279.0,0.0,100.0,twin,English
960,279.0,35.2869139258,4.88103568929,deporte,Spanish
264,279.0,0.0,100.0,acampanada,Spanish
1099,279.0,76.6767371601,16.8580060423,fina,Spanish
1316,277.0,30.2250803859,29.6891747053,interior,Spanish
2434,277.0,0.0,100.0,tiger,English
1123,276.0,30.0,36.3157894737,fleece,English
396,276.0,0.0,100.0,banera,Spanish
473,276.0,0.0,100.0,bleach,English
2085,275.0,46.2341536167,20.5070842655,rojas,Spanish
1511,275.0,0.0,100.0,lining,English
1708,274.0,9.93520518359,59.1792656587,no,English
624,274.0,18.0701754386,48.0701754386,buttons,English
311,273.0,43.0087678819,12.5980618366,amarilla,Spanish
838,273.0,33.3795975017,18.9451769604,collares,Spanish
2592,272.0,65.1589789521,12.1809225258,watch,English
2267,270.0,30.8245711123,14.9418926397,socks,English
1579,270.0,36.200597808,8.96712055795,mens,English
1918,270.0,43.537414966,61.2244897959,plana,Spanish
603,270.0,20.4318936877,44.8504983389,brown,English
2488,270.0,0.0,100.0,trimming,English
1203,269.0,50.8425811755,11.0563090834,gilet,English
1725,269.0,23.3885819521,49.5395948435,o,Spanish
1881,269.0,0.0,100.0,perro,Spanish
634,267.0,30.1848049281,54.8254620123,cadenas,Spanish
2366,267.0,0.0,100.0,swiss,English
2599,267.0,0.0,100.0,weight,English
2522,266.0,0.0,100.0,two,English
639,266.0,59.8066298343,18.3701657459,calcetin,Spanish
759,265.0,0.0,100.0,chelsea,English
149,265.0,38.6018237082,40.273556231,6,English
1255,265.0,12.4505928854,52.371541502,halter,English
1601,265.0,35.4515474378,3.36123795028,mezclilla,Spanish
1914,265.0,34.9565217391,15.3623188406,pitillos,Spanish
1693,265.0,0.0,100.0,neoprene,English
2334,265.0,19.3473193473,61.7715617716,suits,English
2061,264.0,0.0,100.0,retro,English
369,263.0,0.0,100.0,bad,English
1180,262.0,23.273657289,67.0076726343,furry,English
1984,261.0,12.6179245283,30.7783018868,print,Spanish
2213,260.0,0.0,100.0,sisters,Spanish
683,260.0,44.1373534338,10.8877721943,canguro,Spanish
1676,259.0,0.0,100.0,nadadora,Spanish
2107,258.0,0.0,100.0,roses,English
292,258.0,0.0,100.0,adolescentes,Spanish
1754,258.0,36.8956743003,65.6488549618,ottoman,Spanish
1504,258.0,15.0684931507,44.1780821918,lightweight,English
1144,257.0,0.0,100.0,forever,Spanish
642,257.0,0.0,100.0,call,English
1308,256.0,7.46666666667,68.2666666667,hot,Spanish
333,255.0,0.0,100.0,anos,Spanish
1217,255.0,18.5614849188,29.5823665893,gold,English
350,255.0,0.0,100.0,athletic,English
2231,255.0,38.184079602,3.96455223881,skirts,English
1652,253.0,34.5944770602,5.50119591215,mostaza,Spanish
1625,252.0,0.0,100.0,missed,English
2490,252.0,0.0,100.0,tropical,Spanish
1289,252.0,25.2177900046,5.77716643741,hombres,Spanish
2475,252.0,25.3263707572,65.7963446475,transparent,English
2328,252.0,0.0,100.0,suela,Spanish
1701,252.0,0.0,100.0,nike,Spanish
2527,251.0,0.0,100.0,unicorn,English
1461,250.0,37.5,53.8793103448,las,Spanish
