,total_queries,ctr,zero_resulto_rate,keywords,lang
2639,2239.0,21.7581850993,57.7210621294,zip,English
1051,2236.0,29.5970488082,63.4506242906,espalda,Spanish
2129,2207.0,4.04290429043,91.0478547855,sale,English
1336,2207.0,22.5005750211,4.23023844208,jackets,English
2101,2202.0,29.1672818544,8.12786062306,rosa,Spanish
1164,2128.0,7.03055473153,63.1266686443,front,English
2252,2120.0,17.9270816749,16.8762935838,slogan,English
2616,2112.0,0.0,100.0,women's,English
527,2093.0,60.0812182741,8.49949238579,bomber,Spanish
2607,2090.0,24.3734842361,84.4785772029,winter,English
1597,2083.0,14.7290116897,44.2720510096,metallic,English
1317,2080.0,0.0,100.0,invierno,Spanish
1732,2067.0,20.3097931316,21.0638948334,off,English
884,2065.0,57.0327977108,22.7272727273,corto,Spanish
1404,2060.0,36.4109406271,13.7424949967,jumpsuit,English
347,2035.0,5.35398230088,90.0442477876,asymmetric,English
1054,2034.0,29.2461741923,38.4281126015,estampada,Spanish
2051,2030.0,0.0,100.0,ref,Spanish
779,2018.0,33.9497794367,34.2382083475,choker,English
1038,2017.0,14.150401837,57.8932261768,embroidery,English
2099,2010.0,12.2714797414,9.35014188026,ropa,Spanish
1025,2001.0,55.0740658855,22.1202741543,efecto,Spanish
2046,1986.0,47.1499675395,8.59554209046,red,English
2050,1961.0,0.0,100.0,ref,English
1608,1944.0,27.9907468605,64.24322538,mid,English
1931,1938.0,18.1006493506,78.6525974026,platform,English
1636,1897.0,56.6835260116,22.8444123314,mom,English
1042,1884.0,35.5274261603,39.746835443,encaje,Spanish
2118,1882.0,20.0685453161,71.6679360244,ruffled,English
909,1878.0,42.2451193059,20.3687635575,cropped,Spanish
1688,1870.0,42.3840568973,13.8539042821,negra,Spanish
1690,1835.0,43.4536082474,7.8823024055,negro,Spanish
2390,1821.0,10.6637307329,57.2821642026,technical,English
487,1820.0,20.0157604413,4.78066719201,blusas,Spanish
2438,1817.0,42.9977770721,57.7008574151,tipo,Spanish
924,1816.0,42.4634531806,17.9375740814,cuadros,Spanish
309,1805.0,46.4810078621,17.0976603202,alto,Spanish
462,1803.0,27.9767860716,18.0408244947,blanca,Spanish
251,1792.0,24.0060583112,67.8530859523,a,English
2112,1789.0,38.6722055543,13.7625971229,rotos,Spanish
